,n,p,TP,FP,product,adj_R2
167,0.01,0.66,59.03,-1973.31,-0.02,1.0
168,0.01,0.67,59.36,-2004.53,-0.02,1.0
169,0.01,0.68,59.55,-2029.49,-0.02,1.0
170,0.01,0.6900000000000001,59.6,-2048.08,-0.02,1.0
171,0.01,0.7000000000000001,59.52,-2060.47,-0.01,1.0
172,0.01,0.71,59.32,-2066.53,-0.01,1.0
173,0.01,0.72,58.94,-2063.99,-0.01,1.0
174,0.01,0.73,58.12,-2042.07,-0.01,1.0
175,0.01,0.74,55.91,-1961.28,-0.01,1.0
176,0.01,0.75,49.6,-1707.56,-0.0,1.0
177,0.01,0.76,35.37,-1115.02,0.01,1.0
178,0.01,0.77,17.44,-354.85,0.02,1.0
179,0.01,0.78,6.54,116.52,0.03,1.0
180,0.01,0.79,2.57,294.66,0.03,1.0
181,0.01,0.8,1.41,352.76,0.03,1.0
182,0.01,0.81,1.07,374.59,0.03,1.0
183,0.01,0.8200000000000001,0.96,386.27,0.03,1.0
184,0.01,0.8300000000000001,0.91,395.03,0.03,1.0
185,0.01,0.84,0.87,402.86,0.03,1.0
186,0.01,0.85,0.84,410.3,0.04,1.0
187,0.01,0.86,0.82,417.52,0.04,1.0
188,0.01,0.87,0.79,424.5,0.05,1.0
189,0.01,0.88,0.77,431.19,0.06,1.0
190,0.01,0.89,0.74,437.47,0.09,1.0
191,0.01,0.9,0.72,443.13,0.12,1.0
192,0.01,0.91,0.7,447.92,0.19,1.0
193,0.01,0.92,0.68,451.44,0.32,1.0
194,0.01,0.93,0.65,453.09,0.56,1.0
195,0.01,0.9400000000000001,0.6,451.77,1.01,0.99
196,0.01,0.9500000000000001,0.53,445.33,1.91,0.98
197,0.01,0.96,0.38,429.08,3.8,0.95
198,0.01,0.97,0.07,400.4,7.47,0.85
199,0.01,0.98,1.61,651.46,-13.92,0.45
200,0.01,0.99,2.44,707.62,-22.93,0.45
201,0.01,1.0,2.05,640.91,-17.4,0.74
202,0.02,0.0,0.0,187.45,0.0,0.57
203,0.02,0.01,165.24,-4.27,-0.01,1.0
204,0.02,0.02,90.37,-7.42,-0.01,1.0
205,0.02,0.03,65.62,-10.95,-0.01,1.0
206,0.02,0.04,53.41,-14.85,-0.01,1.0
207,0.02,0.05,46.22,-19.1,-0.01,0.99
208,0.02,0.06,41.53,-23.69,-0.01,0.99
209,0.02,0.07,36.59,-24.83,-0.0,0.99
210,0.02,0.08,32.52,-22.93,-0.0,0.99
211,0.02,0.09,29.21,-19.36,-0.0,0.98
212,0.02,0.1,26.49,-14.91,-0.0,0.98
213,0.02,0.11,24.24,-10.07,-0.0,0.98
214,0.02,0.12,22.34,-5.13,-0.0,0.97
215,0.02,0.13,20.72,-0.27,-0.0,0.97
216,0.02,0.14,19.34,4.43,-0.0,0.97
217,0.02,0.15,18.13,8.92,-0.0,0.97
218,0.02,0.16,17.08,13.19,-0.0,0.97
219,0.02,0.17,16.15,17.25,-0.0,0.96
220,0.02,0.18,15.33,21.1,-0.0,0.96
221,0.02,0.19,14.6,24.76,-0.0,0.96
222,0.02,0.2,13.94,28.26,-0.0,0.96
223,0.02,0.21,13.34,31.6,-0.0,0.96
224,0.02,0.22,12.81,34.81,-0.0,0.96
225,0.02,0.23,12.32,37.9,-0.0,0.96
226,0.02,0.24,11.87,40.88,-0.0,0.95
227,0.02,0.25,11.47,43.77,-0.0,0.95
228,0.02,0.26,11.1,46.58,-0.0,0.95
229,0.02,0.27,10.75,49.31,-0.0,0.95
230,0.02,0.28,10.44,51.98,-0.0,0.95
231,0.02,0.29,10.15,54.6,-0.0,0.95
